,Ano,Genero,qtd,Idade
9147,2021,1,1695071,36 anos
421,2003,0,262018,72 anos
11672,2044,1,1349747,13 anos
7407,2005,1,416034,66 anos
8003,2011,1,1602168,8 anos
347,2003,0,1721360,10 anos
6613,2059,0,1394992,52 anos
10210,2030,1,103325,89 anos
10317,2031,1,204044,85 anos
9032,2020,1,1708781,33 anos
12167,2048,1,1536781,55 anos
7439,2006,1,1573983,0 ano
9148,2021,1,1688185,37 anos
3955,2035,0,1393096,57 anos
2544,2022,0,181272,83 anos
1336,2012,0,1481256,2 anos
12918,2055,1,1448435,34 anos
11479,2042,1,1515776,37 anos
4326,2038,0,182284,88 anos
424,2003,0,966754,75 a 79 anos
7334,2005,1,1729576,5 anos
10163,2030,1,1525178,50 anos
7574,2007,1,1811083,20 anos
9850,2027,1,845231,67 anos
5671,2051,0,1217235,7 anos
4401,2039,0,1427036,59 anos
12179,2048,1,1394561,65 anos
4680,2042,0,1390587,14 anos
8731,2017,1,3939707,60 a 64 anos
7276,2004,1,3990276,50 a 54 anos
11184,2039,1,992523,69 anos
8937,2019,1,1309278,46 anos
12696,2053,1,1466681,34 anos
13402,2059,1,1345446,67 anos
5363,2048,0,1470565,28 anos
4524,2040,0,1001507,69 anos
601,2005,0,1302567,37 anos
3772,2033,0,118468,89 anos
118,2001,0,8721078,5 a 9 anos
10146,2030,1,1661841,36 anos
9985,2028,1,148813,86 anos
164,2001,0,1036541,43 anos
9146,2021,1,1700899,35 anos
5223,2047,0,1225310,4 anos
10353,2032,1,1484709,24 anos
8508,2015,1,852145,59 anos
3431,2030,0,286830,82 anos
5963,2053,0,1414792,65 anos
11941,2046,1,1573866,52 anos
3015,2027,0,1480652,14 anos
10364,2032,1,1701700,33 anos
11455,2042,1,1430255,17 anos
5222,2047,0,1218147,3 anos
63,2000,0,723250,51 anos
493,2004,0,5792508,40 a 44 anos
3055,2027,0,1547224,47 anos
8258,2013,1,1554056,35 anos
3240,2029,0,1477728,16 anos
13211,2058,1,1104418,0 ano
10298,2031,1,815493,70 anos
9721,2026,1,1295172,52 anos
7354,2005,1,1783097,22 anos
10748,2035,1,675961,75 anos
12189,2048,1,919702,74 anos
9199,2021,1,1754693,80 anos ou mais
6772,2000,1,8919229,0 a 4 anos
10944,2037,1,1562270,54 anos
10461,2033,1,1471511,21 anos
7567,2007,1,8788967,15 a 19 anos
13061,2056,1,1517514,60 anos
4653,2041,0,407631,83 anos
5550,2050,0,113300060,Total
6383,2057,0,1408277,45 anos
